H:\Desktop\Github\RAFT-sintel\core\raft.py:99: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=self.args.mixed_precision):
H:\Desktop\Github\RAFT-sintel\core\raft.py:110: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=self.args.mixed_precision):
C:\ProgramData\anaconda3\envs\raft_env\lib\site-packages\torch\functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\TensorShape.cpp:3596.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
H:\Desktop\Github\RAFT-sintel\core\raft.py:127: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=self.args.mixed_precision):
C:\ProgramData\anaconda3\envs\raft_env\lib\site-packages\torch\optim\lr_scheduler.py:224: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
[ 16400,  0.0000880]     0.7855,     0.8934,     0.9226,     2.9882,
[ 16500,  0.0000879]     0.7950,     0.9003,     0.9265,     3.2473,
[ 16600,  0.0000878]     0.7952,     0.9015,     0.9278,     2.7360,
[ 16700,  0.0000877]     0.7936,     0.8984,     0.9264,     2.7469,
[ 16800,  0.0000876]     0.7977,     0.8998,     0.9256,     3.2720,
[ 16900,  0.0000875]     0.7860,     0.8959,     0.9244,     3.0199,
[ 17000,  0.0000874]     0.7999,     0.9054,     0.9321,     2.4446,
[ 17100,  0.0000873]     0.7944,     0.8994,     0.9267,     2.8148,
[ 17200,  0.0000872]     0.7912,     0.8982,     0.9253,     2.8284,
[ 17300,  0.0000871]     0.8025,     0.9050,     0.9308,     2.7297,
[ 17400,  0.0000870]     0.8062,     0.9051,     0.9299,     2.9826,
[ 17500,  0.0000869]     0.7930,     0.8975,     0.9241,     3.2024,
[ 17600,  0.0000868]     0.8042,     0.9094,     0.9355,     2.3789,
[ 17700,  0.0000867]     0.7994,     0.8997,     0.9265,     2.8133,
[ 17800,  0.0000865]     0.7887,     0.8995,     0.9279,     2.7400,
[ 17900,  0.0000864]     0.7907,     0.8965,     0.9238,     2.7899,
[ 18000,  0.0000863]     0.8154,     0.9133,     0.9384,     2.3177,
[ 18100,  0.0000862]     0.7919,     0.9014,     0.9299,     2.5185,
[ 18200,  0.0000861]     0.8019,     0.9059,     0.9322,     2.6089,
[ 18300,  0.0000860]     0.8064,     0.9076,     0.9336,     2.6386,
[ 18400,  0.0000859]     0.7993,     0.8998,     0.9266,     2.7943,
[ 18500,  0.0000858]     0.7983,     0.9018,     0.9285,     2.7115,
[ 18600,  0.0000857]     0.7927,     0.8969,     0.9250,     2.8631,
[ 18700,  0.0000856]     0.7919,     0.9010,     0.9284,     2.6717,
[ 18800,  0.0000855]     0.7987,     0.9028,     0.9290,     2.9027,
[ 18900,  0.0000854]     0.7948,     0.8981,     0.9263,     2.7022,
[ 19000,  0.0000853]     0.8122,     0.9125,     0.9370,     2.4237,
[ 19100,  0.0000852]     0.7931,     0.9011,     0.9289,     2.7195,
[ 19200,  0.0000851]     0.8110,     0.9127,     0.9381,     2.2550,
[ 19300,  0.0000850]     0.8070,     0.9076,     0.9327,     2.6796,
[ 19400,  0.0000849]     0.8086,     0.9105,     0.9360,     2.6847,
[ 19500,  0.0000848]     0.8103,     0.9102,     0.9356,     2.4069,
[ 19600,  0.0000847]     0.8001,     0.9046,     0.9315,     2.7244,
[ 19700,  0.0000845]     0.8100,     0.9065,     0.9318,     2.5456,
[ 19800,  0.0000844]     0.8064,     0.9062,     0.9324,     2.7198,
[ 19900,  0.0000843]     0.8217,     0.9163,     0.9401,     2.5192,
[ 20000,  0.0000842]     0.7977,     0.9026,     0.9292,     2.7811,
Validation sintel_flyvis_split (clean) EPE: 1.853262, 1px: 0.836183, 3px: 0.939369, 5px: 0.960413
Validation sintel_flyvis_split (final) EPE: 3.038549, 1px: 0.799077, 3px: 0.908309, 5px: 0.933991
Validation results:
sintel_flyvis_split_clean: 1.8532615900039673
sintel_flyvis_split_final: 3.0385489463806152
[ 20100,  0.0000841]     0.8004,     0.9002,     0.9268,     3.1104,
